GPU Model, Instance Type, Pricing GC2 (Static) Per GPU-Hour
Nvidia GH200, Lite VM, $ 0.98
Nvidia H100 SXM, Lite VM, $ 0.88
Nvidia H100 PCIe, Lite VM, $ 0.72
Nvidia A100 80GB SXM, Lite VM, $ 0.64
Nvidia A100 80GB PCIe, Lite VM, $ 0.59
Nvidia A100 40GB PCIe, Lite VM, $ 0.41
Nvidia L40, Lite VM, $ 0.39
Nvidia A40, Lite VM, $ 0.30
Nvidia RTX A6000, Lite VM, $ 0.29
Nvidia RTX A6000 Ada, Lite VM, $ 0.29
Nvidia A10, Lite VM, $ 0.24
Nvidia RTX A5000, Lite VM, $ 0.22
Nvidia T4, Lite VM, $ 0.14
Nvidia RTX A4000, Lite VM, $ 0.12
